# Matter power spectrum P(k) at redshift z=49
# for k=1.04734e-05 to 1048.42 h/Mpc,
# number of wavenumbers equal to 142
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047341822795e-05       2.938510899716e-02 
       1.318525235552e-05       3.669585428027e-02 
       1.659924925128e-05       4.582544896722e-02 
       2.089721669915e-05       5.722637389661e-02 
       2.630803713832e-05       7.146368914191e-02 
       3.311985648786e-05       8.924300020189e-02 
       4.169542896754e-05       1.114454023316e-01 
       5.249143508290e-05       1.391710731161e-01 
       6.608280152740e-05       1.737936631142e-01 
       8.319331812540e-05       2.170280889296e-01 
       1.047341822795e-04       2.710149769084e-01 
       1.318525235552e-04       3.384256216327e-01 
       1.659924925128e-04       4.225921772351e-01 
       2.089721669915e-04       5.276684101503e-01 
       2.630803713832e-04       6.588268839339e-01 
       3.311985648786e-04       8.224981702244e-01 
       4.169542896754e-04       1.026655741364e+00 
       5.249143508290e-04       1.281144653404e+00 
       6.608280152740e-04       1.598039260085e+00 
       8.319331812540e-04       1.991988227042e+00 
       1.047341822795e-03       2.480452393761e+00 
       1.318525235552e-03       3.083644832103e+00 
       1.659924925128e-03       3.823720153214e+00 
       2.089721669915e-03       4.723080269605e+00 
       2.630803713832e-03       5.800264747316e+00 
       3.311985648786e-03       7.063534786635e+00 
       4.169542896754e-03       8.502472025383e+00 
       5.249143508290e-03       1.008058696920e+01 
       6.608280152740e-03       1.173221513661e+01 
       8.319331812540e-03       1.335857124318e+01 
       1.047341822795e-02       1.481110708605e+01 
       1.318525235552e-02       1.588021897488e+01 
       1.659924925126e-02       1.631102404004e+01 
       2.089721654089e-02       1.585112650135e+01 
       2.630791508931e-02       1.438172093172e+01 
       3.310278308602e-02       1.212575050611e+01 
       4.112179913817e-02       9.857700002251e+00 
       4.790633046213e-02       8.552296818789e+00 
       5.282248740461e-02       7.911183755567e+00 
       5.687273538429e-02       7.511843399988e+00 
       6.048722083324e-02       7.210630344706e+00 
       6.385735826512e-02       6.947573139630e+00 
       6.708431928906e-02       6.692495053634e+00 
       7.022870640901e-02       6.429279991743e+00 
       7.333029721361e-02       6.150179108313e+00 
       7.641710878833e-02       5.853224095557e+00 
       7.951003363711e-02       5.540827078169e+00 
       8.262541400505e-02       5.218635089778e+00 
       8.577656644653e-02       4.894508322205e+00 
       8.897473246565e-02       4.577431810670e+00 
       9.222969670973e-02       4.276434601414e+00 
       9.555020312499e-02       3.999588914480e+00 
       9.894424323235e-02       3.753133684028e+00 
       1.024192605735e-01       3.540812963067e+00 
       1.059822984926e-01       3.363529347136e+00 
       1.096401085665e-01       3.219079502971e+00 
       1.133992310473e-01       3.102338955925e+00 
       1.172660549878e-01       3.005545297799e+00 
       1.212468633672e-01       2.919010694820e+00 
       1.253478670107e-01       2.832237233800e+00 
       1.295752300913e-01       2.735573606141e+00 
       1.339350893388e-01       2.622050687662e+00 
       1.384335686327e-01       2.489091860474e+00 
       1.430767903656e-01       2.339322577388e+00 
       1.478708847655e-01       2.180151171951e+00 
       1.528219982418e-01       2.022008525829e+00 
       1.579363017383e-01       1.875831772049e+00 
       1.632200000282e-01       1.750232026488e+00 
       1.686793428508e-01       1.649358200190e+00 
       1.743206387748e-01       1.571938059495e+00 
       1.801502726554e-01       1.511436919780e+00 
       1.861747275469e-01       1.458245471548e+00 
       1.924006119256e-01       1.401576148232e+00 
       1.988346930818e-01       1.333130918047e+00 
       2.054839375544e-01       1.251467461916e+00 
       2.123555595105e-01       1.162372541496e+00 
       2.194570780354e-01       1.075394426181e+00 
       2.267963843905e-01       9.990371024531e-01 
       2.343818204503e-01       9.377617033184e-01 
