# Matter power spectrum P(k) at redshift z=49
# for k=1.03733e-05 to 1038.4 h/Mpc,
# number of wavenumbers equal to 142
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037327674596e-05       2.944083610426e-02 
       1.305918169907e-05       3.678915680306e-02 
       1.644053569819e-05       4.597159344041e-02 
       2.069740817396e-05       5.744590179947e-02 
       2.605649310848e-05       7.178409766225e-02 
       3.280318131651e-05       8.970093366103e-02 
       4.129675854704e-05       1.120895014609e-01 
       5.198953875960e-05       1.400656761080e-01 
       6.545095149191e-05       1.750236068436e-01 
       8.239786605928e-05       2.187049201295e-01 
       1.037327674596e-04       2.732849805105e-01 
       1.305918169907e-04       3.414801738250e-01 
       1.644053569819e-04       4.266810677257e-01 
       2.069740817396e-04       5.331169347479e-01 
       2.605649310848e-04       6.660576882998e-01 
       3.280318131650e-04       8.320590096041e-01 
       4.129675854704e-04       1.039254459131e+00 
       5.198953875960e-04       1.297692680791e+00 
       6.545095149191e-04       1.619704573268e+00 
       8.239786605928e-04       2.020257550116e+00 
       1.037327674596e-03       2.517199726561e+00 
       1.305918169907e-03       3.131197742050e+00 
       1.644053569819e-03       3.884906676266e+00 
       2.069740817396e-03       4.801213335397e+00 
       2.605649310848e-03       5.899020246340e+00 
       3.280318131651e-03       7.186644651085e+00 
       4.129675854704e-03       8.653203687085e+00 
       5.198953875960e-03       1.026108276720e+01 
       6.545095149191e-03       1.194285245476e+01 
       8.239786605928e-03       1.359727072194e+01 
       1.037327674596e-02       1.507224442059e+01 
       1.305918169907e-02       1.615355341475e+01 
       1.644053569817e-02       1.658120576379e+01 
       2.069740801652e-02       1.609868043651e+01 
       2.605637182315e-02       1.458732455475e+01 
       3.278623051453e-02       1.227894060905e+01 
       4.072772360309e-02       9.967214501910e+00 
       4.744502688877e-02       8.642098993564e+00 
       5.231275389888e-02       7.993556036447e+00 
       5.632336481561e-02       7.590600189468e+00 
       5.990260159953e-02       7.286978577061e+00 
       6.323994026454e-02       7.021743728616e+00 
       6.643553676132e-02       6.764178516741e+00 
       6.954938903211e-02       6.497955568207e+00 
       7.262087973735e-02       6.215241247977e+00 
       7.567774885055e-02       5.914108982736e+00 
       7.874068287985e-02       5.597090748924e+00 
       8.182586336944e-02       5.270026755924e+00 
       8.494647622784e-02       4.941002863664e+00 
       8.811365289212e-02       4.619220082127e+00 
       9.133708237291e-02       4.313927666165e+00 
       9.462542327901e-02       4.033355080309e+00 
       9.798658923591e-02       3.783860177842e+00 
       1.014279513082e-01       3.569236828769e+00 
